ID,DATE,NAME,EVENT
69, 1969-04        , Belfast and Newry Clashes             , A nationalist crowd stoned Hasting Street RUC station in Belfast. Civil rights demonstrators in Newry attacked the police station. 
70,1969, Civil Rights Pause Urged              , John Hume asked the civil rights movement to stay off the streets.        
71,1969, Chichester-Clark Resigns              , James Chichester-Clark resigned from O’Neill’s cabinet.                   
72,1969, Water Supply Sabotage                 ," The main Lough Neagh to Belfast water pipe was blown up by loyalists. An explosion in Annalong, County Down, caused by loyalists, again hit Belfast’s water supply. Five hundred British troops were sent to NI. "
73,1969, O’Neill Resigns                       , O’Neill resigned. Celebration bonfires were lit on the Shankill Road.     
74,1969, NI Boundary Commission                , A NI Boundary Commission was set up.                                      
75, 1969-05        , Chichester-Clark PM                   , Chichester-Clark defeated Faulkner to become prime minister.              
76, 1969-05        , Amnesty Announced                     , An amnesty was announced for those convicted since October 1968. It resulted in the release of Paisley and the dropping of charges against a number of nationalist MPs. 
77, 1969-05        , London Talks                          , Chichester-Clark and colleagues met Wilson and Callaghan.                 
78, 1969-05        , One Man – One Vote                    , Wilson announced that the one man – one vote system would be used for 1971 NI local elections. 
79, 1969-07        , Local Government Reforms              , A white paper on local government reorganisation recommended greatly reducing the number of local government bodies. 
80, 1969-07        , Twelfth of July Riots                 , Clashes during the Twelfth of July period led to serious rioting in various areas. 
81, 1969-08        , Bogside Uprising                      ," Major clashes broke out between Bogside residents and the RUC after the Apprentice Boys march was stoned. Lynch sent ‘field hospitals’ to the border area. RUC stations were attacked in nationalist areas. In Londonderry the RUC used CS gas for the first time. There was rioting in Derry and later Belfast. Wilson and Callaghan met in Cornwall, and decided to provide troops if Chichester-Clark requested them. Callaghan later agreed to a request. "
82, 1969-08-14     , Army Deployed in Derry                , The army arrived on the streets of Londonderry at 5 p.m. The army negotiated with the Bogside Defence Association and agreed to pull the RUC and B Specials back behind the army outside the Bogside. 
83, 1969-08-14  , Belfast Violence                      , Major clashes occurred in west and north Belfast. A number of people were killed; 150 Catholic homes were burned and on the 15th barricades were strengthened in many areas.
84, 1969-08-15     , Army Deployed in Belfast              , The army was deployed on the streets of Belfast.                           
85, 1969-08-19     , Chichester-Clark Summoned to London   ," Chichester-Clark was summoned to London where, at a stormy meeting, he was pressed for action on reform. "
86, 1969-08-19     , Hunt Inquiry Announced                , The Hunt inquiry into policing was announced.                              
87, 1969-08-19     , British Advisers Appointed            ," Two senior British civil servants were appointed to the NI PM’s office and the Ministry of Home Affairs. Callaghan arrived in NI, and was given a warm welcome in the Bogside. "
88, 1969-08-19     , Scarman Inquiry Announced             ," Chichester-Clark announced that a senior English judge, Lord Scarman, would chair an inquiry into the 1969 disturbances. "
89, 1969-09        , Cameron Report Published              , The Cameron report on the 1968 disturbances was published.                 
90, 1969-09        , Belfast Peacelines Completed          ," The army completed ‘peacelines’ in Belfast, barricades intended to separate some loyalist and nationalist areas. "
91, 1969-09        , Community Relations Ministry          , A Ministry for Community Relations was established.                        
92, 1969-10        , Hunt Report on Policing               , The Hunt report on policing was published. It proposed disarming the RUC and abolition of the B Specials. English policeman Sir Arthur Young was appointed head of the RUC. 
93, 1969-10        , Shankill Road Rioting                 ," In a night of loyalist rioting on the Shankill Road, a policeman and two civilians were killed. "
94,1969, Loyalist Bombing Fatality             , A loyalist was fatally injured when his bomb exploded prematurely.         
95, 1969-11        , Ulster Defence Regiment Proposal      , A white paper recommended the creation of the Ulster Defence Regiment to replace the B Specials. 
96, 1970-01        , UDR Established                       ," The UDR came into existence, becoming operational in April.                "
97, 1970-01        , Sinn Féin Split                       , Sinn Féin split into Official and Provisional Sinn Féin. A corresponding IRA split had already taken place. 
98, 1970-03        , Unionist MPs Expelled                 , Five Unionist MPs were expelled from the parliamentary party after refusing to support a motion of confidence in the government. 
99, 1970-04        , Ballymurphy Riots                     ," Rioting in Ballymurphy, west Belfast, led to a major gun battle with the army. In a by-election Paisley won O’Neill’s Bannside seat. O’Neill had resigned the seat to become Lord O’Neill. "
100, 1970-04        , Alliance Party Formed                 , The Alliance Party of Northern Ireland was formed. The B Specials formally ceased to exist. 
101, 1970-05        , Haughey and Blaney Arrested           , Lynch sacked ministers Charles Haughey and Neil Blaney from his cabinet amid allegations of illegal arms importation. Haughey and Blaney were arrested on arms conspiracy charges. 
102, 1970-06        , Labour Loses Election                 , Labour lost the Westminster general election.                              
103, 1970-06        , Reginald Maudling Appointed           , Reginald Maudling became Home Secretary in Edward Heath’s Conservative government. 
104, 1970-06        , Bernadette Devlin Jailed              , Bernadette Devlin was jailed for her part in the August 1969 Londonderry rioting. 
105, 1970-06        , Belfast and Derry Riots               , Serious rioting and clashes occurred in Belfast and Londonderry with five shot dead. 
106, 1970-07        , Mandatory Sentences Act               , A new act imposed mandatory six-month sentences for disorderly or riotous behaviour. 
107, 1970-07        , Falls Road Curfew                     ," The army placed part of the Falls Road area of Belfast under curfew while it searched 5,000 homes for arms. "
108, 1970-07        , Hillery’s Unannounced Visit           ," Irish foreign minister Patrick Hillery visited the Falls area unannounced, displeasing both Stormont and London. "
109, 1970-07        , Marches Banned                        , All marches were banned for six months.                                    
110, 1970-07        , Londonderry Shooting Protests         , The army’s shooting of an alleged petrol-bomber in Londonderry was followed by protests and five nights of rioting. 
111, 1970-08        , Rubber Bullets Introduced             , The army began to use rubber bullets.                                      
112, 1970-08        , SDLP Formed                           ," The SDLP was formed, with Gerry Fitt as leader.                            "
113, 1970-09        , 100th Explosion in NI                 , The one-hundredth explosion in NI took place in 1970.                      
114, 1970-10        , Haughey Acquitted                     ," In Dublin, Haughey and others were acquitted on arms charges.              "
115, 1971-01        , Council Boundaries Review             , An independent commissioner was appointed to review local council boundaries. 
116, 1971-02        , First Soldier Death (Robert Curtis)   ," The IRA shot soldier Robert Curtis in north Belfast, the first serving soldier to die in the troubles. In a television address Chichester-Clark said: ‘Northern Ireland is at war with the IRA Provisionals.’ "
117, 1971-02        , RUC Officers Killed                   , Two RUC officers were shot dead in Belfast.                                
118, 1971-02        , RUC Bulletproof Vests                 , The RUC was issued with bulletproof vests.                                 
119, 1971-03        , Maudling’s Stormont Address           ," Maudling addressed Stormont, saying violence could not be tolerated.       "
120,1971, Ligoniel Soldiers Killed              , Three off-duty British soldiers were shot dead by the IRA at Ligoniel in north Belfast. 
121,1971, Shipyard Workers Protest              ," 4,000 shipyard workers marched in Belfast demanding internment without trial. Chichester-Clark flew to London to demand support for tougher security measures. He was promised 1,300 extra troops. "
122,1971, Chichester-Clark Resigns              , Chichester-Clark resigned. Faulkner defeated Craig to become Unionist party leader and prime minister. 
123, 1971-04        , Direct Rule Bill Mentioned            , In the Commons Wilson said a bill existed for the imposition of direct rule from Westminster. 
124, 1971-05        , Housing Executive Meets               , The new independent Housing Executive met for the first time.              
125, 1971-06        , Parliamentary Committees Proposal     ," Faulkner proposed the creation of three new parliamentary committees, some to be chaired by members of the opposition. "
126, 1971-07        , Londonderry Deaths                    ," During prolonged rioting in Londonderry, a man and a youth were shot dead by the army in controversial circumstances. "
127, 1971-07        , Maire Drumm Speech                    ," Sinn Féin’s Maire Drumm told a Bogside meeting: ‘The only way you can avenge these deaths is by being organised … until you can chase that accursed army away. I would personally prefer to see all the British army going back dead. You should not just shout “Up the IRA”, you should join the IRA.’ She later received a six-month prison sentence for the speech. "
128, 1971-07        , SDLP Withdraws from Stormont          , The SDLP withdrew from Stormont citing the government’s refusal to hold a public inquiry into the two Londonderry deaths. 
129, 1971-08        , Internment Introduced                 , Faulkner flew to London to press Heath for the introduction of internment. Internment was introduced. Hundreds of people were arrested and there were major outbreaks of violence. 
130, 1971-08        , SDLP Civil Disobedience               ," The SDLP announced a civil disobedience campaign, including a rent-and-rates strike. Approximately 25 per cent of Catholic tenants took part in the strike. Many Catholic representatives withdrew from councils and public bodies over internment. "
131, 1971-08        , Compton Inquiry                       , The Compton inquiry was established into the treatment of detainees in custody. 
132, 1971-08        , Chequers Talks                        ," Heath held prolonged talks with Lynch at Chequers. Maudling in the Commons said ‘a permanent, active and guaranteed place in the life and public affairs of NI shall be available both to the majority and minority community’. Internees were moved to Long Kesh. "
133, 1971-08        , Heath-Lynch-Faulkner Meeting          , Heath met Lynch and Faulkner at Chequers.                                  
134, 1971-10        , Downing Street Hungerstrike           , Five nationalist MPs staged a 48-hour hungerstrike in Downing Street in protest at internment. 
135, 1971-10        , G. B. Newe Appointed                  ," A Catholic, G. B. Newe, was brought into government as a junior minister in Faulkner’s office to advise on minority matters. "
136, 1971-10        , Assembly of Northern Irish People     ," A nationalist alternative gathering, the Assembly of the Northern Irish People, was organised by the SDLP. "
137, 1971-10        , DUP Launched                          , Paisley’s Democratic Unionist party was launched at an Ulster Hall rally. The Compton report said there had been ill-treatment of detainees but not brutality. 
138, 1971-10        , Wilson’s Unification Call             , Wilson called for Irish unification after a fifteen-year transitional stage. 
139, 1971-11        , European Human Rights Case            , The Irish government referred the alleged ill-treatment of detainees to the European Commission on Human Rights. 
140, 1971-12        , McGurk’s Bar Bombing                  , A bomb left by the UVF at McGurk’s Bar in north Belfast killed fifteen people. 
141, 1971-12        , Jack Barnhill Killed                  ," Unionist Senator Jack Barnhill was killed at his home by the Official IRA. After a visit to NI, Home Secretary Maudling was criticised for speaking of an ‘acceptable level of violence’. "
142, 1972-01        , Bloody Sunday                         ," On what became known as Bloody Sunday, thirteen men were shot dead in Londonderry by the army; another died later of his wounds. "
143, 1972-02        , British Embassy Burned                , The British embassy in Dublin was burned down by a protesting crowd.       
144, 1972-02        , Faulkner-Heath Meeting                , Faulkner met Heath at Downing Street.                                      
145, 1972-02        , Ulster Vanguard Launched              , William Craig launched the Ulster Vanguard movement.                       
146, 1972-02        , Aldershot Bombing                     , Seven people were killed by a bomb planted by the Official IRA at Aldershot military barracks in England. 
147, 1972-02        , John Taylor Attack                    , NI minister John Taylor was seriously injured in an Official IRA gun attack. 
148, 1972-03        , Abercorn Bar Bombing                  ," The Abercorn Bar in Belfast city centre was bombed by the IRA, killing two people and injuring 130. "
149, 1972-03        , Loyalist Stoppage                     , A four-hour loyalist stoppage was called in protest at security policy.    
150, 1972-03        , Wilson-IRA Meeting                    ," Wilson met the IRA in Dublin and at a press conference said internment should end, security should be transferred to London, and IRA terms should be put on the agenda for talks. "
151, 1972-03        , Direct Rule Imposed                   , Heath informed Faulkner he intended to remove security powers from Stormont. Direct rule was introduced when Faulkner refused to give up security powers. 
152, 1972-03        , Vanguard Rally                        , Craig’s Vanguard movement held a large Belfast protest rally.              
153, 1972-03        , Donegall Street Bombing               , An IRA bomb in Belfast’s Donegall Street killed seven people.              
154, 1972-03        , Whitelaw Arrives                      ," William Whitelaw, in the new post of Northern Ireland Secretary, arrived in Belfast. "
155, 1972-03        , Stormont Dissolved                    ," The Stormont parliament was wound up, with a huge loyalist protest rally.  "
156, 1972-04        , Widgery Report                        ," The Widgery report into Bloody Sunday was published, largely exonerating the army. "
157, 1972-05        , Official IRA Killing Protests         , There were widespread protests after the Official IRA killed a local man who was in Londonderry on home leave from the army. 
158, 1972-05        , Official IRA Ceasefire                , The Official IRA called off its campaign.                                  
159, 1972-05        , SDLP Calls for Return                 , The SDLP called on those who had withdrawn from public life to return.     
160, 1972-06        , IRA Ceasefire                         , The IRA called a ceasefire to allow for talks with the government.         
161, 1972-06        , Special Category Status               , Whitelaw granted special category status to imprisoned republicans and loyalists. 
162, 1972-07        , Whitelaw-IRA Talks                    , The IRA met Whitelaw in London for talks. These were unproductive and the IRA ceasefire ended a short time later. 
163, 1972-07-21     , Bloody Friday                         ," 22 IRA bombs in Belfast killed eleven and injured scores on 21 July, Bloody Friday. "
164, 1972-07        , Operation Motorman                    , The army took control of no-go areas in Londonderry in Operation Motorman. 
165, 1972-07        , Claudy Bombing                        , An IRA bomb attack killed eight people in the County Londonderry village of Claudy. 
166, 1972-09        , Darlington Conference                 , A conference of NI political parties was held in Darlington.               
167, 1972-10        , Green Paper Published                 , A government green paper on the future government of NI was published.     
168, 1972-12        , Dublin Bombings                       ," Loyalist bombs exploded in Dublin while the Dáil was debating anti-terrorist legislation, killing two people. "
169, 1972-12        , Long Kesh Prisoners Moved             , Special category prisoners were moved to Long Kesh prison near Belfast where they joined internees. 
170, 1972-12        , Diplock Report                        , The Diplock report on judicial procedure recommended an end to jury trial in troubles-related cases. 
171, 1973-01        , EEC Membership                        , The UK and the Irish Republic joined the European Economic Community.      
172, 1973-02        , Loyalist Internment                   ," Two loyalists were interned, the first since internment began, sparking off a violent one-day loyalist strike. "
173, 1973-02        , Irish General Election                , A general election in the south resulted in a Fine Gael–Labour coalition headed by Liam Cosgrave. 
174, 1973-03        , Border Poll                           ," A border poll asked voters if they wanted NI to remain within the UK: 591,820 said yes, 6,463 said no. Most nationalists boycotted the poll. "
175, 1973-03        , Claudia Arms Capture                  ," An IRA gun-running boat, the Claudia, was captured; it contained arms from Libya. "
176, 1973-03        , White Paper Published                 ," A white paper was published, laying the groundwork for the assembly and the Sunningdale initiative. "
177, 1973-03        , Unionist Council Approval             ," The Unionist party’s ruling council approved the white paper by 381 votes to 231, giving Faulkner the authority to negotiate. "
178, 1973-03        , Vanguard Unionist Party               , Craig announced the creation of the Vanguard Unionist Progressive party.   
179, 1973-05        , Faulkner’s Power-Sharing Stance       , Faulkner said he would not share power with those ‘whose primary object is to break the link with Britain’. 
180, 1973-06        , Paddy Wilson Murder                   , SDLP senator and Belfast councillor Paddy Wilson and a woman were stabbed to death by UDA members. 
181, 1973-06        , Assembly Elections                    , Assembly elections were held.                                              
182, 1973-06        , Coleraine Bombing                     ," An IRA bomb attack killed six people in Coleraine, County Londonderry.     "
183, 1973-06        , Assembly Meeting Chaos                , The first meeting of the assembly took place amid rowdy scenes.            
184, 1973-08        , Brookeborough’s Death                 , Former NI prime minister Lord Brookeborough died. Faulkner and Heath were booed at the funeral. 
185, 1973-10        , Interparty Talks Begin                ," Interparty talks involving the UUP, SDLP and Alliance on the formation of an executive began at Stormont Castle. "
186, 1973-10        , Faulkner’s Power-Sharing Vote         , After a six-hour debate Faulkner won the support of the party’s standing committee for sharing power with the SDLP by 132 votes to 105. 
187, 1973-11        , UVF Ceasefire                         , The UVF announced a ceasefire which lasted 43 days.                        
188, 1973-11        , UUP Power-Sharing Approval            , The UUP’s ruling council agreed in principle to powersharing by 379 votes to 369. 
189, 1973-11        , Power-Sharing Agreement               , Agreement was reached on the setting up of a powersharing executive to administer Northern Ireland. 
190, 1973-12        , Whitelaw Replaced                     , Heath announced Whitelaw’s replacement as NI Secretary by Francis Pym.     
191, 1973-12        , Assembly Violence                     , An assembly meeting degenerated into violence and was adjourned in ‘grave disorder’. 
192, 1973-12        , Sunningdale Conference                ," The Sunningdale conference was held in England, clearing the way for the powersharing executive to be formed. "
193, 1974-01        , Power-Sharing Executive Takes Office  , The powersharing executive took office.                                    
194, 1974-01        , Faulkner Defeated on Council of Ireland , Faulkner was defeated by 457 votes to 374 in a vote by the UUP ruling council on the Council of Ireland. 
195, 1974-01        , Faulkner Resigns as UUP Leader        ," Faulkner resigned as UUP leader, to be replaced by hardliner Harry West.   "
196, 1974-01        , Boland Case                           ," The Boland case, in which a former Irish government minister challenged Sunningdale as conflicting with the Irish constitution, was heard in a Dublin court. Faulkner flew to meet Cosgrave near Dublin to try to resolve differences. "
197, 1974-01        , Assembly Violence                     , The first meeting of the assembly since Sunningdale resulted in violent scenes during which five RUC men were injured. 
198, 1974-02        , Cross-Border Talks                    , Irish ministers met the Northern Ireland executive to discuss cross-border links and harmonisation. 
199, 1974-02        , UK General Election                   ," The British general election saw Heath replaced by a minority Labour government under Wilson. In NI, anti-Sunningdale Unionist candidates won eleven of the twelve seats with 51 per cent of the vote. "
200, 1974-03        , Merlyn Rees Appointed                 , Merlyn Rees was named as new Northern Ireland Secretary.                   
201, 1974-03        , Sunningdale Debate                    , The Assembly began to debate a motion calling for complete renegotiation of the Sunningdale Agreement. The presiding officer allowed the debate to run for almost two months. 
202, 1974-05        , UPNI Formation                        , Faulkner supporters began to organise a new party to be known as the Unionist Party of Northern Ireland (UPNI). 
203, 1974-05        , Ulster Workers Council Strike         ," The assembly voted by 44 votes to 28 in favour of the powersharing executive. The vote triggered the Ulster Workers Council strike. During the strike more than thirty people were killed by loyalist bombs in Dublin and Monaghan. As the strike progressed Wilson made a broadcast condemning ‘people who spend their lives sponging on Westminster’, causing widespread Protestant resentment. "
204, 1974-05-28     , Executive Collapse                    , Faulkner and his colleagues resigned on 28 May. The strike was called off following the collapse of the executive. 
205, 1974-09        , UPNI Launched                         , Faulkner officially launched the UPNI.                                    
206, 1974-10        , UK General Election Result            ," In the British general election, ten of the twelve NI seats were retained by anti-Sunningdale Unionists. "
207, 1974-10        , Guildford Pub Bombings                ," Five people were killed and 54 were injured when IRA bombs exploded without warning in a pub in Guildford, Surrey. "
208, 1974-10        , Long Kesh Prison Fire                 , Protesting republican prisoners burned down much of Long Kesh prison.      
209, 1974-11        , Long Kesh Escape                      , Twenty-three republican prisoners escaped from Long Kesh. One prisoner was killed during the escape and the others were recaptured. 
210, 1974-11        , Birmingham Pub Bombings               , Twenty-one were killed and 182 injured when IRA bombs exploded in Birmingham bars. 
211, 1974-12        , Feakle Talks                          ," At Feakle, in County Clare, a group of Protestant churchmen met IRA leaders. The IRA called a ceasefire until 2 January, and Rees permitted officials to meet with Sinn Féin. "
212, 1975-01        , IRA Ceasefire Extended                , The IRA announced an extension of its ceasefire.                           
213, 1975-02        , Indefinite IRA Ceasefire              , The IRA announced an indefinite ceasefire. Sinn Féin was allowed to set up ‘incident centres’ to monitor the ceasefire. 
214, 1975-03        , Assembly Dissolved                    , The assembly was formally dissolved to allow for elections to a new constitutional convention. 
215, 1975-05        , Constitutional Convention Elections   ," In the convention elections, combined anti-Sunningdale Unionists had an overall majority. Faulkner’s UPNI won only a handful of seats. The convention opened with the task of devising a system of government with the ‘most widespread acceptance throughout the community’. "
216, 1975-07        , Miami Showband Massacre               , Three members of the Miami Showband were killed in an incident in which two UVF attackers also died. 
217, 1975-08        , Unionist-SDLP Talks Fail              , Unionist talks with the SDLP broke down.                                   
218, 1975-09        , Voluntary Coalition Proposal          ," Craig proposed the possibility of the SDLP entering government at the discretion of a Unionist prime minister, an idea known as ‘voluntary coalition’. "
219, 1975-10        , Vanguard Split                        , The Vanguard party split over the voluntary coalition plan.                
220, 1975-10        , Convention Report                     , The convention voted by 42 votes to 31 in favour of a report advocating a return to Unionist majority rule. 
221, 1975-11        , UVF Banned Again                      , The UVF was again banned after a day in which there were eleven deaths as a result of UVF attacks. The Sinn Féin incident centres were closed. 
222, 1975-12        , Internment Ended                      ," Internment was ended, and the remaining detainees were released.           "
223, 1976-01        , UVF Killings in Armagh               , Six members of two Catholic families were killed by the UVF in County Armagh. 
224, 1976-01        , Kingsmills Massacre                  , Ten Protestant workers were shot dead at Kingsmills in County Armagh by the IRA. The SAS was deployed in south Armagh. 
225, 1976-02        , Frank Stagg’s Death                  , Republican prisoner Frank Stagg died in England after a 62-day hungerstrike. 
226, 1976-03        , Special Category Status Ended        , Those convicted of paramilitary offences were no longer eligible for special category status. 
227, 1976-03        , Convention Dissolved                 ," The final convention meeting ended amid rowdy scenes, and the body was officially dissolved. "
228, 1976-06    , UUP-SDLP Talks Criticism             , The UUP was strongly criticised by other Unionists for holding talks with the SDLP. 
229, 1976-07        , Ambassador Ewart-Biggs Killed        ," The British ambassador to Ireland, Christopher Ewart-Biggs, was killed by the IRA in Dublin. "
230, 1976-08        , Maguire Children Deaths              , The deaths of the three Maguire children led to the emergence of the ‘Peace People’. 
231, 1976-08        , Faulkner Retires                     ," Faulkner, by now Lord Faulkner, announced his retirement from political life. "
232, 1976-09        , Roy Mason Appointed                  , Roy Mason replaced Rees as Northern Ireland Secretary.                     
233, 1976-09        , Mase Prison Uniform Protest          , The first IRA man sent to the Mase (formerly Long Kesh) after the ending of special category status refused to wear prison uniform. 
234, 1976-10        , Maire Drumm Assassinated             , Sinn Féin vice-president Maire Drumm was shot dead by loyalists while a patient in Belfast’s Mater Hospital. 
